City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Birao,10.2849,22.7882,69.58,93,100,2.57,CF,2022-10-02 21:55:16
68,Mayo,38.8876,-76.5119,57.15,94,100,15.99,US,2022-10-02 21:55:16
69,Cape Town,-33.9258,18.4232,60.89,83,0,6.91,ZA,2022-10-02 21:55:17
70,Taybad,34.74,60.7756,58.08,29,0,6.8,IR,2022-10-02 21:55:17
71,Kapaa,22.0752,-159.319,79.2,87,100,18.41,US,2022-10-02 21:55:17
72,Cayenne,4.9333,-52.3333,84.24,74,0,5.75,GF,2022-10-02 21:53:48
73,Juneau,58.3019,-134.4197,53.1,90,75,4.61,US,2022-10-02 21:52:52
74,Rundu,-17.9333,19.7667,70.9,20,0,4.36,NA,2022-10-02 21:55:18
75,Storforshei,66.4043,14.5233,48.65,93,100,3.44,NO,2022-10-02 21:55:18
76,Punta Arenas,-53.15,-70.9167,51.91,40,0,8.05,CL,2022-10-02 21:55:19
77,Mulchen,-37.7167,-72.2333,75.06,56,100,1.74,CL,2022-10-02 21:53:46
78,Shenjiamen,29.9576,122.298,77.77,87,0,20.15,CN,2022-10-02 21:55:19
79,Ambon,-3.6954,128.1814,75.34,94,20,8.05,ID,2022-10-02 21:55:20
80,Tilichiki,60.4667,166.1,34.0,79,100,4.88,RU,2022-10-02 21:55:20
81,Pevek,69.7008,170.3133,31.01,89,100,9.19,RU,2022-10-02 21:55:20
82,Buckingham,51.9997,-0.9878,50.41,47,31,3.65,GB,2022-10-02 21:55:21
83,Dingle,10.9995,122.6711,76.53,92,98,5.64,PH,2022-10-02 21:55:21
84,Kahului,20.8947,-156.47,82.85,83,23,8.99,US,2022-10-02 21:55:21
85,Makueni,-1.8041,37.6203,60.13,73,54,4.34,KE,2022-10-02 21:55:22
86,Bathsheba,13.2167,-59.5167,81.21,89,40,9.22,BB,2022-10-02 21:55:22
87,Buraydah,26.326,43.975,79.25,13,0,8.43,SA,2022-10-02 21:55:24
88,Saint-Philippe,-21.3585,55.7679,65.21,79,32,9.37,RE,2022-10-02 21:55:24
89,Busselton,-33.65,115.3333,50.36,63,52,8.48,AU,2022-10-02 21:55:25
90,Avarua,-21.2078,-159.775,77.05,65,40,14.97,CK,2022-10-02 21:56:25
91,Port Macquarie,-31.4333,152.9167,58.89,68,2,6.98,AU,2022-10-02 21:56:25
92,Cidreira,-30.1811,-50.2056,62.08,88,56,7.45,BR,2022-10-02 21:56:24
93,Yerbogachen,61.2767,108.0108,27.91,81,99,5.55,RU,2022-10-02 21:56:26
94,Ixtapa,20.7,-105.2,84.22,77,100,3.0,MX,2022-10-02 21:56:26
95,Dunedin,-45.8742,170.5036,49.77,71,30,19.35,NZ,2022-10-02 21:56:09
96,Faanui,-16.4833,-151.75,78.64,73,46,14.79,PF,2022-10-02 21:56:26
97,Ostrovnoy,68.0531,39.5131,35.08,84,63,10.49,RU,2022-10-02 21:56:27
98,Salalah,17.0151,54.0924,77.76,82,59,5.88,OM,2022-10-02 21:56:27
99,Touros,-5.1989,-35.4608,77.18,75,9,15.79,BR,2022-10-02 21:55:13
100,Hithadhoo,-0.6,73.0833,81.43,68,83,14.14,MV,2022-10-02 21:56:28
